342020,1381,87.07,0
343020,1395,86.07,0
344020,1376,87.43,0
345020,1382,87.00,0
346020,1395,86.07,0
347020,1388,86.57,0
348020,1331,90.64,0
349020,1375,87.50,0
350020,1385,86.79,0
351020,1374,87.57,0
352020,1374,87.57,0
353020,1382,87.00,0
354020,1423,84.07,0
355020,1374,87.57,0
356020,1377,87.36,0
357020,1377,87.36,0
358020,1329,90.79,0
359020,1381,87.07,0
360020,1373,87.64,0
361020,1359,88.64,0
362020,1371,87.79,0
363020,1411,84.93,0
364020,1366,88.14,0
365020,1782,58.43,0
366020,2021,41.36,1
367020,1973,44.79,0
368020,1872,52.00,0
369020,1807,56.64,0
370020,1837,54.50,0
371020,1808,56.57,0
372020,1811,56.36,0
373020,1808,56.57,0
374020,1719,62.93,0
375020,1807,56.64,0
376020,1808,56.57,0
377020,1860,52.86,0
378020,1807,56.64,0
379020,1806,56.71,0
380020,1808,56.57,0
381020,1835,54.64,0
382020,1829,55.07,0
383020,1807,56.64,0
384020,1801,57.07,0
385020,1813,56.21,0
386020,1802,57.00,0
387020,1809,56.50,0
388020,1809,56.50,0
389020,1807,56.64,0
390020,1802,57.00,0
391020,1853,53.36,0
392020,1744,61.14,0
393020,1740,61.43,0
394020,1794,57.57,0
395020,1753,60.50,0
396020,1729,62.21,0
397020,1759,60.07,0
398020,1761,59.93,0
399020,1770,59.29,0
400020,1766,59.57,0
401020,1806,56.71,0
402020,1762,59.86,0
403020,1763,59.79,0
404020,1771,59.21,0
405020,1747,60.93,0
406020,1728,62.29,0
407020,1747,60.93,0
408020,1750,60.71,0
409020,1630,69.29,0
410020,1748,60.86,0
411020,1739,61.50,0
412020,1744,61.14,0
413020,1718,63.00,0
414020,1759,60.07,0
415020,1755,60.36,0
416020,1747,60.93,0
417020,1754,60.43,0
418020,1667,66.64,0
419020,1760,60.00,0
420020,1761,59.93,0
421020,1700,64.29,0
422020,1762,59.86,0
423020,1746,61.00,0
424020,1747,60.93,0
425020,1757,60.21,0
426020,1744,61.14,0
427020,1791,57.79,0
428020,1749,60.79,0
429020,1742,61.29,0
430020,1759,60.07,0
431020,1771,59.21,0
432020,1776,58.86,0
433020,1765,59.64,0
434020,1776,58.86,0
435020,1758,60.14,0
436020,1761,59.93,0
437020,1797,57.36,0
438020,1764,59.71,0
439020,1763,59.79,0
440020,1784,58.29,0
441020,1763,59.79,0
442020,1770,59.29,0
443020,1755,60.36,0
444020,1767,59.50,0
445020,1763,59.79,0
446020,1762,59.86,0
447020,1815,56.07,0
448020,1776,58.86,0
449020,1766,59.57,0
450020,1776,58.86,0
451020,1776,58.86,0
452020,1775,58.93,0
453020,1763,59.79,0
454020,1763,59.79,0
455020,1765,59.64,0
456020,1751,60.64,0
457020,1763,59.79,0
458020,1790,57.86,0
459020,1744,61.14,0
460020,1762,59.86,0
461020,1768,59.43,0
462020,1776,58.86,0
463020,1765,59.64,0
464020,1765,59.64,0
465020,1855,53.21,0
466020,1817,55.93,0
467020,1791,57.79,0
468020,1731,62.07,0
469020,1760,60.00,0
470020,1774,59.00,0
471020,1731,62.07,0
472020,1778,58.71,0
473020,1759,60.07,0
474020,1778,58.71,0
475020,1776,58.86,0
476020,1775,58.93,0
477020,1775,58.93,0
478020,1776,58.86,0
479020,1776,58.86,0
480020,1780,58.57,0
481020,1776,58.86,0
482020,1779,58.64,0
483020,1777,58.79,0
484020,1778,58.71,0
485020,1772,59.14,0
486020,1769,59.36,0
487020,1771,59.21,0
488020,1787,58.07,0
489020,1766,59.57,0
490020,1776,58.86,0
491020,1776,58.86,0
492020,1750,60.71,0
493020,1808,56.57,0
494020,1776,58.86,0
495020,1770,59.29,0
496020,1733,61.93,0
497020,1777,58.79,0
498020,1794,57.57,0
499020,1776,58.86,0
500020,1773,59.07,0
501020,1783,58.36,0
502020,1778,58.71,0
503020,1788,58.00,0
504020,1759,60.07,0
505020,1779,58.64,0
506020,1780,58.57,0
507020,1774,59.00,0
508020,1776,58.86,0
509020,1781,58.50,0
510020,1765,59.64,0
511020,1779,58.64,0
512020,1803,56.93,0
513020,1776,58.86,0
514020,1790,57.86,0
515020,1783,58.36,0
516020,1775,58.93,0
517020,1774,59.00,0
518020,1774,59.00,0
519020,1781,58.50,0
520020,1782,58.43,0
521020,1771,59.21,0
522020,1771,59.21,0
523020,1773,59.07,0
524020,1776,58.86,0
525020,1758,60.14,0
526020,1772,59.14,0
527020,1779,58.64,0
528020,1775,58.93,0
529020,1747,60.93,0
530020,1776,58.86,0
531020,1775,58.93,0
532020,1782,58.43,0
533020,1781,58.50,0
534020,1777,58.79,0
535020,1809,56.50,0
536020,1770,59.29,0
537020,1778,58.71,0
538020,1776,58.86,0
539020,1776,58.86,0
540020,1778,58.71,0
541020,1776,58.86,0
542020,1842,54.14,0
543020,1782,58.43,0
544020,1782,58.43,0
545020,1781,58.50,0
546020,1765,59.64,0
547020,1783,58.36,0
548020,1773,59.07,0
549020,1783,58.36,0
550020,1781,58.50,0
551020,1785,58.21,0
552020,1776,58.86,0
553020,1776,58.86,0
554020,1782,58.43,0
555020,1776,58.86,0
556020,1765,59.64,0
557020,1779,58.64,0
558020,1760,60.00,0
559020,1783,58.36,0
560020,1776,58.86,0
561020,1774,59.00,0
562020,1781,58.50,0
563020,1782,58.43,0
564020,1815,56.07,0
565020,1776,58.86,0
566020,1765,59.64,0
567020,1774,59.00,0
568020,1776,58.86,0
569020,1782,58.43,0
570020,1783,58.36,0
571020,1776,58.86,0
572020,1777,58.79,0
573020,1776,58.86,0
574020,1783,58.36,0
575020,1907,49.50,0
576020,1795,57.50,0
577020,1774,59.00,0
578020,1781,58.50,0
579020,1748,60.86,0
580020,1776,58.86,0
581020,1746,61.00,0
582020,1775,58.93,0
583020,1767,59.50,0
584020,1775,58.93,0
585020,1781,58.50,0
586020,1776,58.86,0
587020,1776,58.86,0
588020,1779,58.64,0
589020,1775,58.93,0
590020,1776,58.86,0
591020,1794,57.57,0
592020,1780,58.57,0
593020,1776,58.86,0
594020,1726,62.43,0
595020,1781,58.50,0
596020,1775,58.93,0
597020,1776,58.86,0
598020,1776,58.86,0
599020,1783,58.36,0
600020,1815,56.07,0
601020,1680,65.71,0
602020,1777,58.79,0
603020,1780,58.57,0
604020,1776,58.86,0
605020,1783,58.36,0
606020,1810,56.43,0
607020,1783,58.36,0
608020,1779,58.64,0
609020,1778,58.71,0
610020,1776,58.86,0
611020,1779,58.64,0
612020,1777,58.79,0
613020,1761,59.93,0
614020,1776,58.86,0
615020,1777,58.79,0
616020,1787,58.07,0
617020,1777,58.79,0
618020,1775,58.93,0
619020,1777,58.79,0
620020,1776,58.86,0
621020,1776,58.86,0
622020,1779,58.64,0
623020,1766,59.57,0
624020,1783,58.36,0
625020,1777,58.79,0
626020,1777,58.79,0
627020,1769,59.36,0
628020,1782,58.43,0
629020,1964,45.43,0
630020,1833,54.79,0
631020,1744,61.14,0
632020,1579,72.93,0
633020,1568,73.71,0
634020,1625,69.64,0
635020,1574,73.29,0
636020,1575,73.21,0
637020,1569,73.64,0
638020,1602,71.29,0
639020,1579,72.93,0
640020,1572,73.43,0
641020,1567,73.79,0
642020,1527,76.64,0
643020,1569,73.64,0
644020,1461,81.36,0
645020,1318,91.57,0
646020,1322,91.29,0
647020,1189,100.00,0
648020,1331,90.64,0
649020,1339,90.07,0
650020,1360,88.57,0
651020,1351,89.21,0
652020,1395,86.07,0
653020,1365,88.21,0
654020,1380,87.14,0
655020,1394,86.14,0
656020,1423,84.07,0
657020,1437,83.07,0
658020,1447,82.36,0
659020,1444,82.57,0
660020,1456,81.71,0
661020,1458,81.57,0
662020,1456,81.71,0
663020,1467,80.93,0
664020,1458,81.57,0
665020,1466,81.00,0
666020,1462,81.29,0
667020,1463,81.21,0
668020,1498,78.71,0
669020,1380,87.14,0
670020,1472,80.57,0
671020,1471,80.64,0
672020,1470,80.71,0
673020,1445,82.50,0
674020,1482,79.86,0
675020,1472,80.57,0
676020,1467,80.93,0
677020,1461,81.36,0
678020,1470,80.71,0
679020,1456,81.71,0
680020,1498,78.71,0
681020,1567,73.79,0
682020,1457,81.64,0
683020,1456,81.71,0
684020,1476,80.29,0
685020,1498,78.71,0
686020,1469,80.79,0
687020,1463,81.21,0
688020,1477,80.21,0
689020,1473,80.50,0
690020,1473,80.50,0
691020,1461,81.36,0
692020,1471,80.64,0
693020,1471,80.64,0
694020,1464,81.14,0
695020,1472,80.57,0
696020,1455,81.79,0
697020,1450,82.14,0
698020,1459,81.50,0
699020,1446,82.43,0
700020,1346,89.57,0
701020,1371,87.79,0
702020,1267,95.21,0
703020,1302,92.71,0
704020,1330,90.71,0
705020,1343,89.79,0
706020,1356,88.86,0
707020,1328,90.86,0
708020,1330,90.71,0
709020,1362,88.43,0
710020,1364,88.29,0
711020,1359,88.64,0
712020,1488,79.43,0
713020,1243,96.93,0
714020,1355,88.93,0
715020,1363,88.36,0
716020,1401,85.64,0
717020,1394,86.14,0
718020,1363,88.36,0
719020,1362,88.43,0
720020,1358,88.71,0
721020,1365,88.21,0
722020,1363,88.36,0
723020,1505,78.21,0
724020,1365,88.21,0
725020,1357,88.79,0
726020,1359,88.64,0
727020,1367,88.07,0
728020,1357,88.79,0
729020,1360,88.57,0
730020,1265,95.36,0
731020,1360,88.57,0
732020,1501,78.50,0
733020,1358,88.71,0
734020,1374,87.57,0
735020,1314,91.86,0
736020,1333,90.50,0
737020,1344,89.71,0
738020,1344,89.71,0
739020,1340,90.00,0
740020,1342,89.86,0
741020,1322,91.29,0
742020,1381,87.07,0
743020,1328,90.86,0
744020,1319,91.50,0
745020,1292,93.43,0
746020,1328,90.86,0
747020,1328,90.86,0
748020,1289,93.64,0
749020,1322,91.29,0
750020,1328,90.86,0
751020,1327,90.93,0
752020,1179,100.00,0
753020,1238,97.29,0
754020,1324,91.14,0
755020,1307,92.36,0
756020,1318,91.57,0
757020,1318,91.57,0
758020,1316,91.71,0
759020,1314,91.86,0
760020,1306,92.43,0
761020,1313,91.93,0
762020,1328,90.86,0
763020,1307,92.36,0
764020,1315,91.79,0
765020,1317,91.64,0
766020,1262,95.57,0
767020,1314,91.86,0
768020,1308,92.29,0
769020,1307,92.36,0
770020,1393,86.21,0
771020,1315,91.79,0
772020,1314,91.86,0
773020,1313,91.93,0
774020,1314,91.86,0
775020,1310,92.14,0
776020,1298,93.00,0
777020,1305,92.50,0
778020,1327,90.93,0
779020,1321,91.36,0
780020,1326,91.00,0
781020,1310,92.14,0
782020,1281,94.21,0
783020,1308,92.29,0
784020,1308,92.29,0
785020,1307,92.36,0
786020,1303,92.64,0
787020,1415,84.64,0
788020,1313,91.93,0
789020,1315,91.79,0
790020,1303,92.64,0
791020,1302,92.71,0
792020,1309,92.21,0
793020,1314,91.86,0
794020,1314,91.86,0
795020,1324,91.14,0
796020,1298,93.00,0
797020,1319,91.50,0
798020,1313,91.93,0
799020,1314,91.86,0
800020,1308,92.29,0
801020,1353,89.07,0
802020,1309,92.21,0
803020,1221,98.50,0
804020,1302,92.71,0
805020,1306,92.43,0
806020,1305,92.50,0
807020,1296,93.14,0
808020,1356,88.86,0
809020,1312,92.00,0
810020,1308,92.29,0
811020,1303,92.64,0
812020,1303,92.64,0
813020,1229,97.93,0
814020,1310,92.14,0
815020,1308,92.29,0
816020,1309,92.21,0
817020,1311,92.07,0
818020,1360,88.57,0
819020,1310,92.14,0
820020,1327,90.93,0
821020,1314,91.86,0
822020,1235,97.50,0
823020,1311,92.07,0
824020,1317,91.64,0
825020,1317,91.64,0
826020,1313,91.93,0
827020,1312,92.00,0
828020,1264,95.43,0
829020,1296,93.14,0
830020,1315,91.79,0
831020,1314,91.86,0
832020,1314,91.86,0
833020,1314,91.86,0
834020,1307,92.36,0
835020,1311,92.07,0
836020,1391,86.36,0
837020,1306,92.43,0
838020,1316,91.71,0
839020,1311,92.07,0
840020,1305,92.50,0
841020,1310,92.14,0
842020,1314,91.86,0
843020,1313,91.93,0
844020,1315,91.79,0
845020,1306,92.43,0
846020,1310,92.14,0
847020,1308,92.29,0
848020,1307,92.36,0
849020,1310,92.14,0
850020,1287,93.79,0
851020,1310,92.14,0
852020,1306,92.43,0
853020,1308,92.29,0
854020,1326,91.00,0
855020,1307,92.36,0
856020,1311,92.07,0
857020,1312,92.00,0
858020,1316,91.71,0
859020,1308,92.29,0
860020,1309,92.21,0
861020,1316,91.71,0
862020,1297,93.07,0
863020,1325,91.07,0
864020,1311,92.07,0
865020,1315,91.79,0
866020,1233,97.64,0
